date,Actual_Sales_,Train_Forecast_ridge,Test_Forecast_ridge,Train_Forecast_ols,Test_Forecast_ols,Train_Forecast_arima,Test_Forecast_arima
2004-01-31,36402.0,35889.70684267204,,35886.13161712325,,36402.0,
2004-02-29,35890.0,36469.927213469724,,36471.39132567706,,36540.15712449911,
2004-03-31,36365.0,35981.15817100613,,35979.628973449944,,36353.10128344065,
2004-04-30,36312.0,36449.17019309079,,36452.258904811155,,36412.234591156135,
2004-05-31,36528.0,36407.89054457364,,36409.71975925729,,36489.99113877878,
2004-06-30,36508.0,36618.8970311852,,36624.962037245845,,36498.315520585376,
2004-07-31,36526.0,36604.05873917851,,36611.392114474744,,36550.63060730708,
2004-08-31,36680.0,36627.81005689227,,36635.9707717627,,36569.18178064281,
2004-09-30,36951.0,36778.27369023491,,36789.61211809267,,36639.031743407686,
2004-10-31,37078.0,37041.87070846364,,37055.981210105805,,36733.1760209694,
2004-11-30,37286.0,37158.550393065576,,37176.54652731579,,36808.16361831061,
2004-12-31,37423.0,37435.665058688755,,37437.23680604542,,36886.58012667164,
2005-01-31,37628.0,37489.98872438397,,37515.65142509386,,36983.1968932282,
2005-02-28,37553.0,37689.518405068484,,37719.465958222616,,37082.625861091656,
2005-03-31,37645.0,37624.07648531855,,37655.29491329104,,37163.94098400599,
2005-04-30,38049.0,37719.88562852213,,37752.504473310124,,37246.68376224305,
2005-05-31,37908.0,38120.96788377469,,38157.84169837153,,37396.86952411446,
2005-06-30,38143.0,37988.38422737118,,38027.22535991309,,37483.58651800266,
2005-07-31,37960.0,38218.68391969446,,38261.51919028598,,37562.092268453925,
2005-08-31,38320.0,38044.45655253279,,38087.96174434868,,37668.19212381751,
2005-09-30,38577.0,38386.65813569514,,38436.94218927172,,37770.94125519268,
2005-10-31,38559.0,38647.71656664193,,38698.25777509408,,37923.42749875538,
2005-11-30,38508.0,38643.265102565936,,38691.132546243534,,37992.631715609765,
2005-12-31,38847.0,38600.1640244941,,38646.44272629732,,38067.22710667611,
2006-01-31,38254.0,38950.45268783519,,38994.149166182775,,38203.63690761468,
2006-02-28,38889.0,38384.17974647072,,38422.36983633171,,38267.549474992695,
2006-03-31,38866.0,39008.7331454508,,39051.141234125025,,38370.28009265993,
2006-04-30,38891.0,38985.89702467762,,39029.94647588169,,38541.19916565808,
2006-05-31,39242.0,39008.81328959387,,39054.50159043628,,38569.07308163139,
2006-06-30,39372.0,39352.25289206259,,39399.60964289449,,38700.1428256915,
2006-07-31,39411.0,39477.520213613825,,39525.88882698667,,38814.53166719655,
2006-08-31,39705.0,39513.54974937372,,39561.99379515108,,38885.048429052054,
2006-09-30,39356.0,39810.3757156355,,39857.03208637018,,39001.072568559764,
2006-10-31,40002.0,39481.35781517898,,39522.41230225917,,39080.77641216685,
2006-11-30,39989.0,40117.15610833163,,40160.025984503256,,39198.40571929985,
2006-12-31,40153.0,40114.845310640456,,40154.42694976086,,39352.37361526652,
2007-01-31,40253.0,40273.60792421894,,40312.74786958589,,39402.23705461932,
2007-02-28,40646.0,40377.790124707586,,40414.25209564633,,39526.07272768419,
2007-03-31,40572.0,40766.33392893216,,40802.649743656555,,39651.82113236012,
2007-04-30,40416.0,40697.71471112972,,40732.2867313756,,39756.29854310914,
2007-05-31,40740.0,40547.55109074146,,40579.676623286054,,39816.58743140747,
2007-06-30,40870.0,40860.802139298044,,40894.48051914589,,39960.967064916025,
2007-07-31,41044.0,40989.33539535425,,41022.22152464428,,40104.05173078136,
2007-08-31,40954.0,41158.99490162025,,41191.31382989643,,40195.40433798896,
2007-09-30,41095.0,41074.96666638174,,41103.47793770359,,40291.50852765972,
2007-10-31,41379.0,41210.06182453152,,41237.15396813252,,40395.24068071723,
2007-11-30,41868.0,41483.71786334679,,41509.149267376764,,40540.37761521593,
2007-12-31,41998.0,41967.44669810105,,41990.998960480196,,40677.577178626634,
2008-01-31,42159.0,42096.51113625778,,42115.81997038053,,40780.969609318316,
2008-02-29,42016.0,42253.53670682259,,42270.480458076505,,40864.77639551244,
2008-03-31,42168.0,42115.41569746564,,42129.06211141257,,40969.64814690183,
2008-04-30,42584.0,42254.65102964829,,42268.928547619886,,41086.68526337288,
2008-05-31,42549.0,42766.787615693334,,42754.484115448446,,41257.93862350186,
2008-06-30,42683.0,42674.5785918973,,42675.66806066649,,41368.30719657306,
2008-07-31,42899.0,42770.33938107013,,42778.47979023105,,41457.983733102694,
2008-08-31,43063.0,42967.503385897886,,42977.42288096309,,41606.08984023406,
2008-09-30,42834.0,43131.7199122773,,43137.09630045206,,41732.52992552036,
2008-10-31,42768.0,42925.95306661643,,42920.70196483236,,41822.56611799869,
2008-11-30,42496.0,42880.9319352063,,42865.44801910648,,41923.30795956278,
2008-12-31,42136.0,42606.371951591536,,42586.708796123174,,42050.03100169816,
2009-01-31,42771.0,42270.0316693233,,42239.671098687875,,42142.518561063494,
2009-02-28,42101.0,42864.56691776154,,42842.525682532476,,42318.207934056416,
2009-03-31,42069.0,42214.351045930394,,42186.428613787444,,42420.37974675532,
2009-04-30,42288.0,42197.40830063779,,42166.90458010811,,42437.97411217593,
2009-05-31,42300.0,42442.8383497913,,42407.57205512935,,42620.33797632926,
2009-06-30,42530.0,42413.26004162417,,42391.462855256934,,42714.985285878465,
2009-07-31,42480.0,42626.65363037329,,42611.11058418504,,42794.62779249375,
2009-08-31,42401.0,42573.7735647371,,42559.07053239054,,42881.469831962066,
2009-09-30,42691.0,42503.572740498596,,42485.324563868184,,42938.77512054701,
2009-10-31,42763.0,42778.20090062595,,42762.157792986414,,43050.86619452802,
2009-11-30,42808.0,42853.739614629616,,42835.80775118993,,43154.25895128853,
2009-12-31,43192.0,42907.506964515254,,42885.02968484601,,43213.21227206315,
2010-01-31,43028.0,43281.15780125939,,43258.11792488846,,43320.488961391726,
2010-02-28,43735.0,43123.01109606099,,43095.5879329086,,43398.363559655845,
2010-03-31,43304.0,43818.05688780033,,43793.68626210549,,43493.436317728614,
2010-04-30,43186.0,43419.22706015417,,43389.23851857298,,43584.518929235004,
2010-05-31,43224.0,43321.73091012579,,43288.87557905349,,43588.28913597954,
2010-06-30,42920.0,43359.37992275867,,43327.75251863377,,43730.07001561013,
2010-07-31,43052.0,43066.09906100333,,43031.62085387089,,43809.53881717378,
2010-08-31,43258.0,43200.94643005604,,43163.98827112962,,43893.34796744389,
2010-09-30,43646.0,43400.52447184742,,43361.89115522803,,44021.44729157472,
2010-10-31,43493.0,43777.532824978254,,43739.113905384045,,44113.42227222722,
2010-11-30,44121.0,43631.24362113171,,43588.805967729524,,44165.907104406666,
2010-12-31,44184.0,44254.49229935826,,44210.96141657427,,44247.87158049801,
2011-01-31,44639.0,44326.35744763091,,44276.8978459701,,44363.359535688134,
2011-02-28,44961.0,44774.55156218472,,44723.7270917741,,44416.224764516846,
2011-03-31,45068.0,45080.873110809334,,45032.52530660566,,44532.79070205738,
2011-04-30,45769.0,45180.878251533555,,45135.8135508329,,44594.48988763205,
2011-05-31,45365.0,45858.43193834688,,45820.71080356014,,44713.60727887646,
2011-06-30,45791.0,45475.72671720888,,45434.15472082417,,44793.2447894659,
2011-07-31,45797.0,45898.07454488151,,45856.99101022158,,44853.58116781351,
2011-08-31,46034.0,45902.767546143354,,45860.354667498104,,45018.11084059624,
2011-09-30,45887.0,46129.426247905285,,46086.25685001428,,45100.59825202479,
2011-10-31,46001.0,45988.5155544732,,45941.1288617917,,45208.00234801457,
2011-11-30,46138.0,46097.415989114976,,46048.70579736757,,45302.109259353485,
2011-12-31,46078.0,46251.394246882825,,46195.57495223211,,45441.65461442958,
2012-01-31,46248.0,46205.65730105402,,46144.275299436136,,45537.68112382301,
2012-02-29,46353.0,46381.97196884377,,46318.786258773514,,45643.84193063074,
2012-03-31,46800.0,46490.66385871234,,46428.98685024808,,45768.993958140534,
2012-04-30,46879.0,46933.774597784206,,46876.58573294077,,45890.63192471512,
2012-05-31,46873.0,47009.84747761353,,46957.320580494605,,46000.86841553241,
2012-06-30,46889.0,47001.32630469855,,46952.42170953048,,46066.355989518226,
2012-07-31,46910.0,46999.179045898556,,46956.761908645756,,46174.35888438408,
2012-08-31,47059.0,47012.62371564741,,46972.6997006029,,46290.437882061444,
2012-09-30,47131.0,47173.891832440415,,47130.16582824815,,46410.59548106848,
2012-10-31,47402.0,47259.928726764105,,47211.48918518219,,46525.23052286193,
2012-11-30,47310.0,47554.58152321582,,47499.44052383302,,46637.905565099805,
2012-12-31,47142.0,47524.790547655764,,47452.864090129515,,46737.724767615015,
2013-01-31,47236.0,47216.61785820457,,47182.17514505169,,46806.420495621016,
2013-02-28,47729.0,47302.14963797076,,47271.27739751524,,46929.72985128639,
2013-03-31,47625.0,47787.75987502355,,47762.74925309849,,47087.389668218246,
2013-04-30,47307.0,47694.463413666104,,47671.10540536659,,47180.63025169623,
2013-05-31,47799.0,47397.01120701057,,47373.15055579874,,47210.97560864108,
2013-06-30,47745.0,47874.945795570966,,47857.99053738748,,47357.855814381044,
2013-07-31,48053.0,47820.083553643926,,47806.13448516284,,47497.58924840457,
2013-08-31,48182.0,48124.15014649,,48112.621120532,,47565.98286868252,
2013-09-30,48291.0,48259.91709009457,,48246.97678295935,,47689.188540400166,
2013-10-31,48444.0,48356.07870332065,,48346.172792382786,,47770.02739455865,
2013-11-30,48492.0,48509.00440620741,,48498.79359377122,,47875.07666809215,
2013-12-31,48938.0,48559.264633918945,,48548.196579066236,,47976.24043379642,
2014-01-31,49128.0,49003.16294082798,,48992.27569533493,,48098.34469690588,
2014-02-28,49211.0,49200.053001839326,,49187.33132395563,,48221.02880505978,
2014-03-31,49195.0,49293.734751446114,,49279.33279999987,,48292.859116546446,
2014-04-30,49591.0,49287.42079313124,,49272.59732135055,,48387.9960424317,
2014-05-31,49770.0,49679.60897562317,,49667.1005228164,,48521.12650603613,
2014-06-30,50096.0,49862.069880162664,,49850.81098601823,,48655.44144214115,
2014-07-31,50369.0,50183.33794524319,,50174.238909407824,,48753.81892998172,
2014-08-31,50507.0,50459.084660017295,,50449.2449838624,,48877.99049234596,
2014-09-30,50727.0,50600.36349922883,,50588.866142304425,,48979.45400372477,
2014-10-31,50941.0,50825.60688697782,,50811.920509603326,,49093.68276670328,
2014-11-30,50964.0,51046.72294895546,,51030.478269599305,,49225.04154927597,
2014-12-31,51141.0,51086.25380081292,,51064.72199470711,,49335.86992265869,
2015-01-31,51235.0,51272.364765454535,,51248.22947982939,,49456.4329274754,
2015-02-28,51322.0,51372.778323512735,,51347.447391438254,,49594.140807217,
2015-03-31,51273.0,51450.63397885146,,51430.47325811106,,49712.97283160832,
2015-04-30,51136.0,51408.759336161515,,51389.92029082046,,49831.5464674823,
2015-05-31,51191.0,51280.1625788728,,51262.024058812836,,49941.848136376786,
2015-06-30,51404.0,51335.14931623373,,51318.88310384356,,50075.74537240894,
2015-07-31,51572.0,51547.68965547897,,51532.79444008136,,50228.20035859004,
2015-08-31,51526.0,51716.243240844226,,51701.38411567388,,50356.380198606945,
2015-09-30,51419.0,51678.21617740786,,51661.228381189474,,50452.95299536979,
2015-10-31,51280.0,51578.85112699871,,51559.86359814934,,50548.19061530113,
2015-11-30,51596.0,51443.3141554537,,51424.05457981092,,50661.802533448805,
2015-12-31,51376.0,51762.21491622611,,51742.43153954779,,50807.80799017698,
2016-01-31,51598.0,51559.76212484519,,51535.56370553795,,50923.756800402756,
2016-02-29,51578.0,51777.83782959895,,51754.80465161435,,51011.518632565625,
2016-03-31,51172.0,51758.53537496038,,51738.1648016883,,51146.25315130728,
2016-04-30,51832.0,51359.22536177228,,51340.2274983019,,51201.60891872349,
2016-05-31,51957.0,51998.01394678816,,51987.651140370304,,51347.852962175566,
2016-06-30,52276.0,52121.14190041188,,52113.93832534402,,51510.36196444749,
2016-07-31,51976.0,52440.88645581798,,52435.20976305437,,51563.9996378114,
2016-08-31,52212.0,52152.748673556154,,52145.22991123232,,51642.59402358079,
2016-09-30,52510.0,52387.73883901948,,52380.95016112477,,51728.67346045703,
2016-10-31,52818.0,52681.786890090676,,52676.08948202075,,51891.78058600075,
2016-11-30,52834.0,52987.71655896849,,52982.88683440855,,51996.570251457575,
2016-12-31,53210.0,53010.561269891834,,53004.36294310643,,52078.84024700541,
2017-01-31,53316.0,53386.46041758375,,53380.50790652605,,52183.578261448434,
2017-02-28,53687.0,53497.19358408355,,53490.01352252507,,52308.45049365887,
2017-03-31,54117.0,53868.19070885024,,53862.72447804084,,52410.08065690285,
2017-04-30,54199.0,54291.664423792536,,54290.59887808583,,52551.651742742804,
2017-05-31,54318.0,54389.79929061166,,54387.242778125554,,52645.24404317692,
2017-06-30,54152.0,54506.851202157406,,54507.595033159116,,52735.25982631197,
2017-07-31,54139.0,54353.32504940928,,54352.49276195558,,52846.654589965176,
2017-08-31,54430.0,54344.04201604193,,54343.56034591784,,52959.0455693687,
2017-09-30,55012.0,54631.5634287077,,54632.51573927772,,53121.59110286976,
2017-10-31,55200.0,55204.243668269504,,55207.62431436083,,53287.94535698964,
2017-11-30,55239.0,55390.84002010969,,55395.08957139168,,53400.769525635114,
2017-12-31,55885.0,55433.581653233545,,55437.15026440313,,53472.78130799545,
2018-01-31,55336.0,56076.76756989902,,56080.81615114429,,53630.62102744104,
2018-02-28,55555.0,55550.213747877075,,55550.26735435195,,53733.855389920034,
2018-03-31,55716.0,55772.63811381571,,55774.20558562469,,53808.51378862749,
2018-04-30,55859.0,55934.894368619745,,55938.869963539575,,54017.62017501598,
2018-05-31,55897.0,56083.00767979376,,56088.74063247109,,54136.33300676709,
2018-06-30,55696.0,56131.156270310144,,56136.49207975606,,54255.22144841521,
2018-07-31,56057.0,55947.990112506166,,55949.7846448128,,54358.7173755284,
2018-08-31,55937.0,56308.21752000971,,56310.43745986947,,54506.32840746271,
2018-09-30,56177.0,56191.53751023549,,56192.91206400214,,54652.026663750155,
2018-10-31,56408.0,56431.16503360767,,56432.753240400765,,54753.03440543037,
2018-11-30,56569.0,56662.8383872705,,56663.3025715266,,54910.677213094445,
2018-12-31,56629.0,56853.895118379165,,56845.1590657397,,55023.772560455895,
2019-01-31,57470.0,56917.52519442767,,56906.767920625585,,55132.316339350844,
2019-02-28,56351.0,57738.225159280315,,57732.35047909264,,55300.64341703382,
2019-03-31,57446.0,56653.23281468295,,56640.82432452361,,55360.84554752942,
2019-04-30,57652.0,57710.33109037359,,57710.98305086051,,55460.67677852355,
2019-05-31,57652.0,57910.02305979097,,57914.463901337396,,55740.93939339608,
2019-06-30,57913.0,57915.49608947857,,57920.625209832695,,55753.61845294315,
2019-07-31,58604.0,58172.388292092706,,58179.72774820386,,55886.39099976157,
2019-08-31,58671.0,58858.2143379611,,58867.09962449504,,56073.70698543025,
2019-09-30,58124.0,58929.288322837456,,58937.03863199316,,56198.44686646545,
2019-10-31,57880.0,58402.08369355548,,58404.693782300936,,56233.00418904885,
2019-11-30,58049.0,58174.11769646281,,58172.39216585139,,56349.20569996176,
2019-12-31,58537.0,58323.03261154743,,58326.602224690534,,56555.38322095387,
2020-01-31,57885.0,58828.28421952996,,58826.88752971524,,56746.212015177196,
2020-02-29,57922.0,58206.21861406283,,59005.05395568839,,56818.30069823494,
2020-03-31,61000.0,61004.07235899396,,61000.01111266521,,56887.97194680788,
2020-04-30,64097.0,61614.51600560873,,62336.074735752874,,57290.44189176741,
2020-05-31,64573.0,64453.91258082617,,63627.3428531096,,57662.55892143205,
2020-06-30,63140.0,64903.78948186076,,64084.92412784147,,57565.884109123595,
2020-07-31,63546.0,63539.99007877787,,62708.03791382715,,57358.07128933377,
2020-08-31,62387.0,63812.03962361587,,63018.797446726196,,57554.88557013957,
2020-09-30,62303.0,62703.89988306271,,61902.67787253288,,57865.42951647662,
2020-10-31,61887.0,62610.91463606195,,61816.34847742833,,58010.21274977574,
2020-11-30,62798.0,62170.47711665177,,62194.344168467695,,58304.92499530224,
2020-12-31,62749.0,63062.19412568382,,63092.98106363804,,58551.15476709697,
2021-01-31,63472.0,63334.24778534206,,63283.58478891327,,58781.33216061267,
2021-02-28,63821.0,63760.802654286774,,63791.78596804301,,58907.54762043564,
2021-03-31,64006.0,64793.67318014238,,64651.73656048502,,59129.42173226723,
2021-04-30,64604.0,64407.27986787001,,64423.528383721496,,59255.18584127021,
2021-05-31,65195.0,64897.11419170431,,64949.517002729655,,59453.40466223603,
2021-06-30,65814.0,65456.68983586259,,65524.35114512638,,59677.24537973628,
2021-07-31,65850.0,66077.71147384694,,66150.19426304691,,59863.174424402765,
2021-08-31,67509.0,66106.33278579077,,66184.93905707834,,60019.744977870665,
2021-09-30,67771.0,67681.99817626989,,67783.8753199675,,60281.20008903374,
2021-10-31,68142.0,67937.49044675217,,68042.53398096176,,60540.65095375084,
2021-11-30,68218.0,68288.59085312813,,68400.83065237648,,60624.67635409396,
2021-12-31,68824.0,68349.1683064761,,68468.266257567,,60855.28120590287,
2022-01-31,69283.0,68867.90745993693,,69013.27745268225,,61106.52727481499,
2022-02-28,69294.0,69313.55222969112,,69467.79908774303,,61387.79093203909,
2022-03-31,70083.0,69310.3895700591,,69477.76530239389,,61582.13454303144,
2022-04-30,70380.0,70076.13438881394,,70257.27585147637,,61843.044486653955,
2022-05-31,71182.0,70361.88715143461,,70550.6275811449,,62131.34039402452,
2022-06-30,71725.0,71134.31023087737,,71331.10183576147,,62365.616901216024,
2022-07-31,71705.0,71698.21975697484,,71885.11104345198,,62649.578066093716,
2022-08-31,71934.0,71695.93798342564,,71871.42993345326,,62843.78502335845,
2022-09-30,72470.0,71928.57543918869,,72097.26026951185,,63081.582829037434,
2022-10-31,73214.0,72458.18783767035,,72624.52897612825,,63403.88137581993,
2022-11-30,73438.0,73182.45637243919,,73350.00623347105,,63715.13380226762,
2022-12-31,73347.0,73410.84009678339,,73572.51547505798,,63964.636292368006,
2023-01-31,72793.0,73379.02328893602,,73522.06907786157,,64169.967372732695,
2023-02-28,73572.0,72854.15300452139,,72990.52664410604,,64398.679969682504,
2023-03-31,73158.0,73626.6697473535,,73770.7490322452,,64738.044672597796,
2023-04-30,72913.0,73227.79588097194,,73374.36325728196,,65056.04467351521,
2023-05-31,72807.0,73000.82511417686,,73148.45587560469,,65220.05238125219,
2023-06-30,72732.0,72899.59950611737,,73050.4558545644,,65521.579636190116,
2023-07-31,72878.0,72828.93011996285,,72981.16904379117,,65796.82835186462,
2023-08-31,73463.0,72975.09455513308,,73128.79402495727,,66063.5099393016,
2023-09-30,73448.0,73545.75091011659,,73704.26408645169,,66352.9692275949,
2023-10-31,73472.0,73540.59578332782,,73696.4593263486,,66581.68205425993,
2023-11-30,73656.0,73577.80463888853,,73729.14473533678,,66759.08135388943,
2023-12-31,73465.0,73763.25833003494,,73912.09795872825,,67012.91811230073,
2024-01-31,73296.0,,73606.74292571396,,73745.81270903618,,76258.25765018258
2024-02-29,73341.0,,73445.73656826316,,73585.59762785835,,76482.25306651248
2024-03-31,73617.0,,73497.71301111618,,73642.1633094196,,76748.31416834352
2024-04-30,74099.0,,73761.78896342055,,73915.20264104627,,76968.78127525063
2024-05-31,74024.0,,74238.18560710251,,74397.22557976154,,77186.82444210339
2024-06-30,74138.0,,74166.26820842682,,74326.64275796658,,77400.04374488303
2024-07-31,74892.0,,74274.99867576982,,74436.95049881701,,77618.29110196466
2024-08-31,74559.0,,75004.94275659342,,75171.80346024236,,77837.0630436156
2024-09-30,75140.0,,74686.22821613295,,74848.36248737066,,78056.40011452326
2024-10-31,75403.0,,75261.98502708174,,75423.94256448124,,78275.18351540221
2024-11-30,75235.0,,75523.42315440963,,75684.17541177083,,78493.8794193457
2024-12-31,76036.0,,75365.2812846301,,75522.26861052979,,78712.50781503256
